year,age_group,percent_of_women_with_demand
2016,20,44
2017,20,42.4
2018,20,41.1
2019,20,44.8
2020,20,48.5
2022,20,53.8
2016,25,45.5
2017,25,45.2
2018,25,44
2019,25,45.65
2020,25,47.3
2022,25,46.4
2016,30,44.4
2017,30,44
2018,30,45.6
2019,30,44.6
2020,30,43.6
2022,30,51
2016,35,43.1
2017,35,41.1
2018,35,42.1
2019,35,44.1
2020,35,46.1
2022,35,52.5
2016,40,49.3
2017,40,42.3
2018,40,57.7
2019,40,52.8
2020,40,47.9
2022,40,44.8
2016,45,40.26666667
2017,45,38.1
2018,45,37.7
2019,45,41.35
2020,45,45
2022,45,44.9
2016,50,45.78888889
2017,50,40
2018,50,48.56666667
2019,50,48.68333334
2020,50,48.8
2022,50,56.9
