unique_id,yearmonth,region,district,site_code,product_type,product_code,stock_distributed,id,zero_per,site_type,year,month,lag_1,lag_2,lag_3,lag_4,lag_rolling_mean_1234,rolling_max_4,rolling_zero_per_4
2016 JanC1014AS27137,2016-01-01,1,1,1,1,1,0,C1014AS27137,0.770833333333333,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4017AS27000,2016-01-01,2,2,2,2,2,0,C4017AS27000,0.541666666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1080AS27133,2016-01-01,3,3,3,3,3,0,C1080AS27133,0.729166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4017AS27132,2016-01-01,2,2,2,2,4,0,C4017AS27132,0.708333333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1080AS27138,2016-01-01,3,3,3,1,5,0,C1080AS27138,0.791666666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4054AS27133,2016-01-01,2,2,4,3,3,0,C4054AS27133,0.5,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1080AS27137,2016-01-01,3,3,3,1,1,0,C1080AS27137,0.75,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4019AS27137,2016-01-01,2,4,5,1,1,0,C4019AS27137,0.604166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1066AS27132,2016-01-01,3,3,6,2,4,0,C1066AS27132,0.708333333333333,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1080AS27134,2016-01-01,3,3,3,3,6,0,C1080AS27134,0.729166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4019AS27138,2016-01-01,2,4,5,1,5,0,C4019AS27138,0.5625,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4019AS27133,2016-01-01,2,4,5,3,3,0,C4019AS27133,0.604166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1066AS27134,2016-01-01,3,3,6,3,6,0,C1066AS27134,0.1875,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4019AS27000,2016-01-01,2,4,5,2,2,0,C4019AS27000,0.416666666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1066AS27133,2016-01-01,3,3,6,3,3,0,C1066AS27133,0.375,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4019AS27132,2016-01-01,2,4,5,2,4,0,C4019AS27132,0.770833333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1066AS27138,2016-01-01,3,3,6,1,5,0,C1066AS27138,0.666666666666667,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4024AS27133,2016-01-01,2,4,7,3,3,50,C4024AS27133,0.583333333333333,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1026AS27132,2016-01-01,3,3,8,2,4,16,C1026AS27132,0.166666666666667,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1066AS27000,2016-01-01,3,3,6,2,2,0,C1066AS27000,0.229166666666667,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4017AS46000,2016-01-01,2,2,2,4,7,0,C4017AS46000,0.666666666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1080AS27000,2016-01-01,3,3,3,2,2,0,C1080AS27000,0.75,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4017AS27133,2016-01-01,2,2,2,3,3,0,C4017AS27133,0.583333333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS27137,2016-01-01,2,5,9,1,1,0,C2049AS27137,0.458333333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1018AS42018,2016-01-01,3,6,10,5,8,0,C1018AS42018,0.6875,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS27138,2016-01-01,2,5,9,1,5,0,C2049AS27138,0.395833333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1018AS27139,2016-01-01,3,6,10,6,9,0,C1018AS27139,0.729166666666667,1,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS27133,2016-01-01,2,5,9,3,3,0,C2049AS27133,0.416666666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1084AS27132,2016-01-01,3,7,11,2,4,15,C1084AS27132,0.25,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS27134,2016-01-01,2,5,9,3,6,0,C2049AS27134,0.583333333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS46000,2016-01-01,2,5,9,4,7,0,C2049AS46000,0.770833333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1084AS27000,2016-01-01,3,7,11,2,2,0,C1084AS27000,0.104166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC2049AS27000,2016-01-01,2,5,9,2,2,24,C2049AS27000,0.0,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1084AS27134,2016-01-01,3,7,11,3,6,0,C1084AS27134,0.229166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4016AS27138,2016-01-01,2,2,12,1,5,0,C4016AS27138,0.583333333333333,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1084AS27133,2016-01-01,3,7,11,3,3,0,C1084AS27133,0.354166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC4016AS27133,2016-01-01,2,2,12,3,3,0,C4016AS27133,0.5,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016 JanC1084AS27138,2016-01-01,3,7,11,1,5,0,C1084AS27138,0.229166666666667,2,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
